읍면동명,목적지명,도로명주소,카테고리,구분,순위
영동읍,영동역,충북 영동군 계산로 87-0,교통시설,현지인,1
영동읍,일라이트CC,충북 영동군 영동힐링로 161-0,육상레저스포츠,현지인,2
영동읍,영동와인터널,충북 영동군 영동힐링로 30-0,기타관광,현지인,3
영동읍,대한민국와인축제,충북 영동군 영동힐링로 117-0,기타문화관광지,현지인,4
영동읍,레인보우힐링센터,충북 영동군 영동힐링로 95-0,기타관광,현지인,5
영동읍,영동전통시장,충북 영동군 영동시장2길 10-1,시장,현지인,6
영동읍,영동난계국악축제,충북 영동군 영동힐링로 117-0,기타문화관광지,현지인,7
영동읍,레인보우식물원,충북 영동군 영동힐링로 241-42,테마공원,현지인,8
영동읍,영동중앙시장,충북 영동군 중앙로 21-0,시장,현지인,8
영동읍,영동생활체육공원,충북 영동군,도시공원,현지인,10
영동읍,과일나라테마공원,충북 영동군 영동힐링로 248-0,기타관광,현지인,10
영동읍,영동레인보우영화관,충북 영동군 계산로2길 24-0,공연시설,현지인,12
영동읍,영동중앙청과,충북 영동군 영산교로 3-0,시장,현지인,13
영동읍,용두근린공원,충북 영동군 용두공원로 42-0,도시공원,현지인,13
영동읍,중화사,충북 영동군 화신로 529-0,종교성지,현지인,13
영동읍,영동역,충북 영동군 계산로 87-0,교통시설,외지인,1
영동읍,영동와인터널,충북 영동군 영동힐링로 30-0,기타관광,외지인,2
영동읍,일라이트CC,충북 영동군 영동힐링로 161-0,육상레저스포츠,외지인,3
영동읍,대한민국와인축제,충북 영동군 영동힐링로 117-0,기타문화관광지,외지인,4
영동읍,레인보우힐링센터,충북 영동군 영동힐링로 95-0,기타관광,외지인,5
영동읍,영동전통시장,충북 영동군 영동시장2길 10-1,시장,외지인,6
영동읍,영동난계국악축제,충북 영동군 영동힐링로 117-0,기타문화관광지,외지인,7
영동읍,과일나라테마공원,충북 영동군 영동힐링로 248-0,기타관광,외지인,8
영동읍,레인보우식물원,충북 영동군 영동힐링로 241-42,테마공원,외지인,9
영동읍,영동중앙시장,충북 영동군 중앙로 21-0,시장,외지인,10
영동읍,용두근린공원,충북 영동군 용두공원로 42-0,도시공원,외지인,11
영동읍,영동레인보우영화관,충북 영동군 계산로2길 24-0,공연시설,외지인,12
영동읍,중화사,충북 영동군 화신로 529-0,종교성지,외지인,13
영동읍,이암사,충북 영동군 반곡동길 245-0,종교성지,외지인,14
영동읍,영동생활체육공원,충북 영동군,도시공원,외지인,15
영동읍,대동사,충북 영동군 반곡동길 24-58,종교성지,외지인,16
영동읍,영동중앙청과,충북 영동군 영산교로 3-0,시장,외지인,16
영동읍,영동역,충북 영동군 계산로 87-0,교통시설,전체,1
영동읍,영동와인터널,충북 영동군 영동힐링로 30-0,기타관광,전체,2
영동읍,일라이트CC,충북 영동군 영동힐링로 161-0,육상레저스포츠,전체,3
영동읍,대한민국와인축제,충북 영동군 영동힐링로 117-0,기타문화관광지,전체,4
영동읍,레인보우힐링센터,충북 영동군 영동힐링로 95-0,기타관광,전체,5
영동읍,영동전통시장,충북 영동군 영동시장2길 10-1,시장,전체,6
영동읍,영동난계국악축제,충북 영동군 영동힐링로 117-0,기타문화관광지,전체,7
영동읍,과일나라테마공원,충북 영동군 영동힐링로 248-0,기타관광,전체,8
영동읍,레인보우식물원,충북 영동군 영동힐링로 241-42,테마공원,전체,9
영동읍,영동중앙시장,충북 영동군 중앙로 21-0,시장,전체,10
영동읍,용두근린공원,충북 영동군 용두공원로 42-0,도시공원,전체,11
영동읍,영동레인보우영화관,충북 영동군 계산로2길 24-0,공연시설,전체,12
영동읍,중화사,충북 영동군 화신로 529-0,종교성지,전체,13
영동읍,영동생활체육공원,충북 영동군,도시공원,전체,14
영동읍,이암사,충북 영동군 반곡동길 245-0,종교성지,전체,15
영동읍,영동중앙청과,충북 영동군 영산교로 3-0,시장,전체,16
영동읍,대동사,충북 영동군 반곡동길 24-58,종교성지,전체,17
